cfs_run,forecast_year,forecast_month,eri_basin,eri_lake,eri_land,hur_basin,hur_lake,hur_land,ont_basin,ont_lake,ont_land,mic_basin,mic_lake,mic_land,sup_basin,sup_lake,sup_land
2024080100.0,2024.0,8.0,292.8733952657495,293.2245960203818,292.72494568378426,291.41231244833205,292.31055158841235,291.03540517706585,292.13385733635346,292.44437052256325,291.9170266277885,291.8242817704573,292.2552132477705,291.6016414901182,290.0197331450686,289.9814283608616,290.052636739423
2024080100.0,2024.0,9.0,288.828556363109,289.2765147430777,288.628879581504,286.8642905970076,288.03843351862304,286.3708767938658,287.8120508967726,288.2652160466841,287.49751181776577,287.67009337906734,288.1212746334267,287.4036638389709,284.7633544412315,285.58817240107675,284.1946198163076
2024080100.0,2024.0,10.0,283.3138399287098,283.8546317495636,283.0641443355415,281.0609999944936,282.3409519803022,280.5516412433952,282.7117617588282,283.0575372049396,282.44305235626433,281.21344311491566,281.69350530548314,280.9477744410699,278.2545243046381,279.5466855008993,277.3168674662782
2024080100.0,2024.0,11.0,278.1047662684604,278.6372619780988,277.8654064409085,276.2001903538314,277.4173245541248,275.6782557683977,277.2618572407319,277.68429588270527,276.97291746482205,276.068073886145,276.45575259680567,275.8056998391585,273.1190548657194,274.5204421111709,272.0670476718633
2024080100.0,2024.0,12.0,269.4315799409096,270.298328247378,269.0246972871938,267.3370736689965,269.59306264014265,266.3132299694553,268.2091291016158,268.87500080644503,267.8429013211749,268.1045482304468,268.632511887377,267.6409998804297,264.35260417501,266.79888575543026,262.5506360102437
2024080100.0,2025.0,1.0,266.0156294945578,266.8660400387064,265.6806808196089,263.17410698360663,265.9925443954752,261.8836239803017,263.74966271363854,264.6177586567489,263.4457990396593,264.3357911880741,264.98505525223646,263.8043122342544,260.566467134805,263.39829226840936,258.4813952218007
2024080100.0,2025.0,2.0,271.4110759641152,271.5593565993854,271.36111713732697,267.6744659283044,269.86623309573497,266.73997261350746,267.7461963068366,268.54302134872586,267.454401325596,270.4770500032362,271.2748666055601,270.0958809080089,265.63883556821287,267.9264007795618,264.0120399923318
2024080100.0,2025.0,3.0,272.60613247440983,272.7567931438992,272.6083660436332,267.5899157861076,269.7728164672071,266.8808428548679,269.33944418601834,270.1316056744362,269.1694948695261,270.1910102863825,270.8803586312336,269.98538355486124,264.79408274183044,266.820832224758,263.3657386854882
2024080100.0,2025.0,4.0,275.57646552643934,275.1517392217761,275.8420929534186,270.680292738872,272.49031559378994,270.1692127705785,271.858678797612,272.5612936052254,271.69742086223334,274.56533889805803,275.34257837935445,274.4175797440303,269.73669995791386,271.1117862438023,268.782369595365
2024080100.0,2025.0,5.0,284.33086856729005,283.4640245094218,284.77527568461767,280.70809865501275,281.0905374792648,280.8712394674912,282.6018805958321,282.68526376196775,282.7635710667949,283.3714786215085,283.72059692768414,283.56362758826344,279.7410179058918,279.17863209345745,280.2066992675287
2024080106.0,2024.0,8.0,294.501783193085,294.6871107578485,294.428373809676,292.8957671079534,293.5160310752546,292.66520683305754,293.4564016949858,293.74315920038225,293.25339102898704,293.32642270564213,293.74163385680714,293.1686565642197,290.88120814774555,290.7431208865744,291.007837295194
2024080106.0,2024.0,9.0,290.10036080239195,290.52866318099194,289.8848730816338,288.67810920095235,289.6862063097609,288.2384865034103,289.0443551522225,289.4893039911452,288.7238383332429,289.6719014493024,290.1525684944973,289.3695317976368,287.08145324468137,287.6013979810374,286.69383831347426
2024080106.0,2024.0,10.0,285.0652807690321,285.3316822622672,284.9154368062871,282.1213826933564,283.5590666810586,281.6155447189658,283.2380775094392,283.7092179319476,282.9352823770099,283.49284756697745,284.0376078737185,283.25849903045395,279.9775919761838,281.0577183278388,279.19127685942635
2024080106.0,2024.0,11.0,279.94158291992943,280.27379429171793,279.802005902026,277.0051939329955,278.3616715442658,276.4814410021354,278.2475835091347,278.70791882731754,277.994795082184,277.75512655164323,278.2636592649702,277.5174085788595,274.6619587695077,276.08602867089286,273.5988457041647
2024080106.0,2024.0,12.0,269.20555832711614,269.9671666265854,268.9333357867281,266.54503148460327,268.8605213543484,265.51824598054304,267.92918356156656,268.54277307351146,267.62981273169504,266.97133100753405,267.7709959150707,266.5244092904729,261.259681487665,264.1412732078713,259.188201190084
2024080106.0,2025.0,1.0,264.2050418452479,265.2570153073481,263.8284226160801,262.05488280660035,264.7909911726624,260.7265650473538,263.1132794319616,263.831685208962,262.80460860406686,261.4800777287292,261.9611846922602,260.9106962707676,258.0030063997144,261.0470480778605,255.6946181280706
2024080106.0,2025.0,2.0,261.96079309445594,263.5485991362745,261.31630994745,260.94007546370165,263.7017239259322,259.5182431308744,261.63024960235134,262.3704451811318,261.2793350699591,259.45463663808385,259.86734625536565,258.7951439699217,257.1038667917929,260.1531829810825,254.7653486060273
2024080106.0,2025.0,3.0,269.7250322928873,269.8767419240029,269.71363563570134,265.5252539033746,267.80034843017427,264.5896099937066,265.48523841384474,266.2386724596035,265.2977924131263,268.63820750331394,269.36863262841285,268.285151291571,263.61739667941623,265.98722815116645,261.911214560709
2024080106.0,2025.0,4.0,277.7665869731265,277.27214801225426,278.0196879696439,273.3368126096893,274.81939587876394,272.88901723078635,273.85267813080674,274.5780394976378,273.64356004309366,277.4183655423373,278.06224027344206,277.3554263782582,272.1660465803077,273.3443535747841,271.4022016994035
2024080106.0,2025.0,5.0,283.7244554696632,282.8457669052185,284.15412603986954,280.4418300891474,280.8507419921603,280.5456331254994,281.51251640880264,281.6992683008284,281.5751533274737,283.4579641377529,283.8291699125664,283.6393377270073,279.4945573137877,279.07564164003685,279.8809578147764
2024080112.0,2024.0,8.0,293.60878827271665,293.7754321559566,293.57375159170334,292.10090345893246,292.9900793217392,291.7356350600722,292.4951228293589,292.82388210643063,292.2817727601115,292.52944545024206,293.08718196983085,292.3210966855885,289.9718639735687,289.956868394792,290.0076632697759
2024080112.0,2024.0,9.0,290.2294470343856,290.64648329411347,290.02693662454834,288.8231933697917,289.86056555972624,288.42560492639467,289.6182532751529,289.95013500503154,289.3207015230426,289.3799764615826,289.94537625839985,289.1258699490764,286.127220840606,286.7111859977768,285.696508452154
2024080112.0,2024.0,10.0,282.63555984842816,283.1377067228493,282.3653599809099,281.0521239097268,282.2247884239976,280.5303319130249,281.515524313936,281.98390758412194,281.14907081023205,281.7795281564737,282.30459753532443,281.43981382290474,279.9346518958431,280.95483344166297,279.1821956857541
2024080112.0,2024.0,11.0,278.86114022388136,279.06589248491883,278.806693721591,275.2560773589344,276.9521462152601,274.6359393496181,276.8904060090298,277.4842907586695,276.58468993851375,276.2998140119655,276.9728156383975,276.04774338178515,271.5249286036874,273.4023606527141,270.14434353645925
2024080112.0,2024.0,12.0,268.2894644031222,269.1307238243879,267.9554158246255,265.3167767415962,268.0231371452098,264.1397144369902,266.471723351504,267.17798399733243,266.15106715867665,265.60662305255033,266.3192382875252,265.0867335187257,259.8387276584043,263.09816889284014,257.4016275805565
2024080112.0,2025.0,1.0,267.027684879179,267.9477726998956,266.79337822904915,263.1961963384439,266.0060430394666,261.94839302402613,265.2428950027112,266.0036104183551,265.0184924678644,262.7787335949327,263.4604369296063,262.3003947079013,257.8676832230511,261.17221218364097,255.407251342362
2024080112.0,2025.0,2.0,275.77169326098635,275.5771900614393,275.96249570389114,269.4680185703012,271.9260480685759,268.6059657293253,270.6580892878709,271.4587329082092,270.58622449172003,272.34854999518365,273.16802630890646,272.1463547916844,265.96168119388346,268.46048850457726,264.1816069869979
2024080112.0,2025.0,3.0,276.55224759000043,276.51009626310633,276.6798164521905,270.3632189331904,272.39314117699035,269.8108499607469,273.9221988673676,274.4463966611698,273.90883450149266,272.739006212404,273.39101634665144,272.63452676078583,265.7085975004719,267.8807370929973,264.1621054115544
2024080112.0,2025.0,4.0,276.5693258391682,276.36872129379924,276.67799808453,273.176583315805,274.40997937222056,272.8605384198111,274.4064069144581,274.88819053466085,274.2251328350202,275.9655816544308,276.5240989507112,275.84356943699333,271.99180043792944,273.15730845933206,271.167545570234
