cfs_run,forecast_year,forecast_month,eri_basin,eri_lake,eri_land,hur_basin,hur_lake,hur_land,ont_basin,ont_lake,ont_land,mic_basin,mic_lake,mic_land,sup_basin,sup_lake,sup_land
2024080100.0,2024.0,8.0,3802.5954726476903,591.1585474764983,3688.2997599160585,6071.785929709595,1272.4155119173336,4980.819833840864,2906.715572478155,318.5909001867558,2977.293601345025,6799.168892975078,1726.0952179862238,5430.496241703407,3617.777951953568,902.1967625215872,3029.709566427473
2024080100.0,2024.0,9.0,2747.644964160274,482.3928493659431,2530.59112992887,5831.095865185856,1472.6988598033213,4013.4976642992856,2300.203039816645,284.37990781970893,2118.271866984987,5098.038345282239,1414.362771672555,3762.747451891428,4368.301148632572,1634.3078809136132,2798.0436509913475
2024080100.0,2024.0,10.0,2207.592796790312,440.06483473803047,1890.967432951011,5039.419038974681,1323.329423980107,3298.5592034901583,1760.5841142558074,226.78862491947945,1583.152911538199,3884.451559852252,1138.413350892222,2642.592974086647,4316.526506708342,1859.368564872243,2378.917571462116
2024080100.0,2024.0,11.0,1594.197930430581,346.05378945369955,1302.5396045741477,3862.6981008283806,1051.0443564808857,2428.106447936989,1389.7162681458074,181.30852152687893,1203.4917610230789,2840.7184113259063,847.5743943931884,1865.290516418326,3479.9117116383527,1596.361712661189,1759.9131759782945
2024080100.0,2024.0,12.0,1630.3176774047593,423.8472900933175,1140.3164567197202,4773.637200157604,1422.008194541979,2685.556377529079,1523.460376890439,213.33079441100568,1215.8350959988138,2947.681740054803,903.3729850728116,1753.305256341345,5283.494323527285,2662.6661455744147,2270.582965893891
2024080100.0,2025.0,1.0,1696.5195964812624,416.8148704170692,1249.514895760724,4690.265593456196,1453.7931441012086,2546.445891107114,1499.4797049774068,214.1928615341085,1191.3635820918498,3008.3691569209877,936.8385893090152,1770.2491126974735,4816.488263401357,2494.147764942906,1977.4776262095452
2024080100.0,2025.0,2.0,1121.896175959058,230.95723991488975,958.0808710125456,3784.674747976912,1026.2713665680735,2333.072145863514,1147.195302589053,148.0241898200249,1023.625641581289,2347.44544912046,680.6710930565845,1541.0264864096796,4110.584568727329,1834.9459440190435,2107.0013680318766
2024080100.0,2025.0,3.0,1553.447930857967,278.08431466365727,1430.4486985233482,4111.047917593657,1038.7292260177512,2768.174327504907,1376.034375420886,161.20166148188537,1344.6781928922992,3097.214542763153,849.2293752023278,2200.4243294797307,4217.327412181277,1801.75799477422,2300.0039476667434
2024080100.0,2025.0,4.0,1904.1885739042652,266.91192148875075,1937.5821986166725,3691.480960718853,801.9064831183175,2827.6089574534185,1413.692044460512,170.81725718235774,1417.9451134143858,3342.859341804624,863.7620018279462,2621.9996488644038,3854.47704470684,1287.4443776172138,2640.8335307643474
2024080100.0,2025.0,5.0,2602.5785648044,286.4188171032424,2848.207920398037,3492.440295141282,490.5820187113683,3519.172848667913,1793.711689132643,170.5662694464803,2056.910736616038,4893.757291874815,1195.898389749161,4158.392790050041,2537.365416294143,431.9617193079173,2493.465659002443
2024080106.0,2024.0,8.0,3602.8314173631707,509.4169293865303,3614.72638762949,5547.137490453361,1025.5447319339576,4902.046953797474,2680.8287748745006,277.9193694847997,2888.629638774381,6766.606098115729,1715.9599626566824,5490.937330080051,3366.231709848695,665.6727211320283,3077.0445389002125
